"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME"
"ENSCAFG00000020391",578.678540427951,-2.77645087211576,0.277912310683761,-9.99038461191131,1.67928895603972e-23,1.69897395435774e-20,"CES2","carboxylesterase 2"
"ENSCAFG00000005902",83.0100527142659,-7.85761925243931,0.789726016031356,-9.94980422694765,2.52679801503251e-23,2.42186940272406e-20,"NALCN","sodium leak channel, non-selective"
"ENSCAFG00000010114",392.971713248513,2.46236558749045,0.248776413538534,9.89790612569081,4.25081442995208e-23,3.87057907919286e-20,"CIT","citron rho-interacting serine/threonine kinase"
"ENSCAFG00000006648",121.682706202656,7.05879867284804,0.714929250785318,9.87342267097655,5.42801879101802e-23,4.70712620015377e-20,"HOXC10","homeobox C10"
"ENSCAFG00000016090",3245.55308610372,3.26245127743291,0.331687088695916,9.8359308776829,7.88351273529891e-23,6.52575683738766e-20,"TOP2A","DNA topoisomerase II alpha"
"ENSCAFG00000019753",351.833021464728,-3.8424041775787,0.397015346920903,-9.67822581010758,3.73134835968339e-22,2.95441673818236e-19,"RBP7","retinol binding protein 7"
"ENSCAFG00000013368",4068.57874697131,-3.30604070896813,0.342412956923141,-9.6551273604702,4.67577905477498e-22,3.5479421819378e-19,"APOD","apolipoprotein D"
"ENSCAFG00000008438",530.898790865839,-2.1577309795128,0.227230392331825,-9.49578512526559,2.18558100096224e-21,1.59206462434094e-18,"EPHX2","epoxide hydrolase 2"
"ENSCAFG00000013255",1778.56277923567,3.03810711155317,0.321483457719335,9.45027508757708,3.37941386393144e-21,2.36701945677136e-18,"MKI67","marker of proliferation Ki-67"
"ENSCAFG00000008478",1294.14296084362,1.29958349811205,0.139148125009127,9.33956888047759,9.67271634135823e-21,6.52406804786943e-18,"MOGS","mannosyl-oligosaccharide glucosidase"
"ENSCAFG00000002196",1086.47899556188,1.78471524073375,0.191587881293302,9.31538690592608,1.21508864383613e-20,7.90284974746418e-18,"MCM3","minichromosome maintenance complex component 3"
"ENSCAFG00000005705",166.168164045768,-2.69736522221611,0.291946693453067,-9.23923881552621,2.48256974240732e-20,1.55896819237861e-17,"AATK","apoptosis associated tyrosine kinase"
"ENSCAFG00000012762",629.318742514569,-3.84556116656293,0.417453734991299,-9.21194576602145,3.20265902809662e-20,1.94412078535559e-17,"COCH","cochlin"
"ENSCAFG00000018873",93.7301267697488,-4.15873794501752,0.453416830383884,-9.17199730212164,4.64334638976693e-20,2.72774132593695e-17,"LOC100686507","fatty acid-binding protein, adipocyte-like"
"ENSCAFG00000001569",341.355992741157,2.83779182724258,0.309723414727193,9.16234192284795,5.07830413201969e-20,2.89003114213158e-17,"RECQL4","RecQ like helicase 4"
"ENSCAFG00000012848",70.2452432808467,-7.64465383512199,0.836193421819896,-9.14220757499398,6.11902484954847e-20,3.37677459197355e-17,"COL20A1","collagen type XX alpha 1 chain"
"ENSCAFG00000013954",275.275464340291,2.46852130388016,0.270487786590599,9.12618397671473,7.09563595127438e-20,3.80054783260758e-17,"KIF18B","kinesin family member 18B"
"ENSCAFG00000005000",287.427222211741,-6.87301554327224,0.753903757776842,-9.11656888876615,7.75403199269617e-20,4.03453361768543e-17,"LYPD1","LY6/PLAUR domain containing 1"
"ENSCAFG00000042998",980.258443485156,-2.48602624520441,0.273093110682966,-9.10321845537304,8.76938011571716e-20,4.43608836909237e-17,NA,NA
"ENSCAFG00000007465",638.789527186653,-2.6225996930914,0.288229179065509,-9.09900830163809,9.11603778262657e-20,4.48681524484898e-17,"RHPN2","rhophilin Rho GTPase binding protein 2"
"ENSCAFG00000004813",1300.16119558381,-2.22866952346564,0.246073868050903,-9.05691263001001,1.34195013457678e-19,6.4311194475731e-17,"LIPE","lipase E, hormone sensitive type"
"ENSCAFG00000005887",1627.86642609581,-4.43373913696923,0.491275499171992,-9.02495472386059,1.79769693533704e-19,8.39432279215968e-17,"GALNT15","polypeptide N-acetylgalactosaminyltransferase 15"
"ENSCAFG00000003539",450.292075366682,3.32737828112023,0.37029637991234,8.9857164736742,2.5705395792695e-19,1.17030240695192e-16,"CLSPN","claspin"
"ENSCAFG00000015999",132.14090439533,-6.68328878912102,0.747448910411677,-8.94146569220366,3.84042333169417e-19,1.70580364130445e-16,"KRT23","keratin 23"
"ENSCAFG00000000430",477.285797441741,-3.24674808028101,0.363520909730994,-8.93139292230427,4.20678101167276e-19,1.82404021437078e-16,"ESR1","estrogen receptor 1"
"ENSCAFG00000008288",1208.78220132178,-3.38441294636739,0.382772930927916,-8.84182937953034,9.41639432053834e-19,3.9879524877052e-16,"GPD1","glycerol-3-phosphate dehydrogenase 1"
"ENSCAFG00000005114",156.928085722705,-2.25819391544577,0.25598634693878,-8.82154045499086,1.12895720798445e-18,4.67259993513746e-16,"MYRIP","myosin VIIA and Rab interacting protein"
"ENSCAFG00000014650",668.705618845813,3.14078373227135,0.356232202185449,8.81667550828633,1.17908316602452e-18,4.77161856366055e-16,"CDCA3","cell division cycle associated 3"
"ENSCAFG00000018828",370.46362561565,-5.04161087836082,0.572407448579473,-8.80773108538759,1.2770434918385e-18,5.05570413692846e-16,"CIDEA","cell death inducing DFFA like effector a"
"ENSCAFG00000016691",280.765860619798,-6.28275978476851,0.718077920738806,-8.74941228983115,2.14466746395764e-18,8.30990195449628e-16,"ANGPTL7","angiopoietin like 7"
"ENSCAFG00000006401",2828.01399384842,-2.01892366367282,0.23094301026764,-8.7420860295061,2.28845117366423e-18,8.68228840074985e-16,"CD36","CD36 molecule"
"ENSCAFG00000038248",99.8575192950119,-3.57599269168564,0.409814061959304,-8.7258906504793,2.64093781158206e-18,9.81512622177977e-16,NA,NA
"ENSCAFG00000032747",171.125046568147,-2.29290043949591,0.263777288531994,-8.6925620179684,3.54356287266371e-18,1.29063646948158e-15,"FN3K","fructosamine 3 kinase"
"ENSCAFG00000005731",240.935494888701,-3.45771460083881,0.398142426834465,-8.68461728213762,3.80019681441502e-18,1.35696831739827e-15,"NRG2","neuregulin 2"
"ENSCAFG00000031469",273.487574821327,-2.28033113615743,0.263822907026993,-8.6434160014927,5.45568341156979e-18,1.91064328092495e-15,"LOC100686484","zinc finger protein 77"
"ENSCAFG00000014851",1905.54402214096,-3.91169380993454,0.45269496487049,-8.64090417054587,5.57698818463479e-18,1.91627418547895e-15,"CLDN11","claudin 11"
"ENSCAFG00000014571",241.43959673209,2.98008009998106,0.345012101501531,8.63761035340912,5.74010028642451e-18,1.93579567251994e-15,"CDC45","cell division cycle 45"
"ENSCAFG00000007075",1038.45319723868,2.56971596267218,0.297629954840848,8.63392921605049,5.92796906731948e-18,1.96280444881737e-15,"TPX2","TPX2 microtubule nucleation factor"
"ENSCAFG00000004998",213.607808449635,-5.01521136236461,0.58114179088636,-8.62992722432744,6.13910225277583e-18,1.99641412723751e-15,"GPR39","G protein-coupled receptor 39"
"ENSCAFG00000007062",428.740871543865,2.84515601905033,0.330035560896901,8.62075593102259,6.65135450621406e-18,2.12504941952042e-15,"BUB1","BUB1 mitotic checkpoint serine/threonine kinase"
"ENSCAFG00000013228",236.12073136717,-4.21261264855268,0.492767021073114,-8.54889322621215,1.24274414693426e-17,3.90200235514133e-15,"CNKSR2","connector enhancer of kinase suppressor of Ras 2"
"ENSCAFG00000002033",157.618206524105,-4.87076401339502,0.570153832376581,-8.54289445550534,1.30900948965769e-17,4.04040200273834e-15,"CALCR","calcitonin receptor"
"ENSCAFG00000009547",3016.40080955751,-2.30512328329226,0.270101146082332,-8.5342965652934,1.41010714234912e-17,4.27991019488665e-15,"PNPLA2","patatin like phospholipase domain containing 2"
"ENSCAFG00000014546",4688.97530511383,2.41081934552004,0.283573275580167,8.50157455983012,1.8703618480018e-17,5.58379665802634e-15,"HTRA3","HtrA serine peptidase 3"
"ENSCAFG00000023615",246.958070090656,2.72629008097913,0.321355560687815,8.48371839324611,2.18109259331516e-17,6.40643180917134e-15,"MMP12","matrix metallopeptidase 12"
"ENSCAFG00000003683",205.985827857569,2.42307389406608,0.288584945234512,8.39639743541379,4.60385508035368e-17,1.31337268196513e-14,"ORC6","origin recognition complex subunit 6"
"ENSCAFG00000006215",1049.58691756842,2.06680437937394,0.24621595238387,8.39427486059728,4.68778344559517e-17,1.31337268196513e-14,"POLE","DNA polymerase epsilon, catalytic subunit"
"ENSCAFG00000012068",369.868344875508,-5.64355445262975,0.67223918782529,-8.395158382371,4.65266647284822e-17,1.31337268196513e-14,"AGT","angiotensinogen"
"ENSCAFG00000015996",76.8051413083502,2.97664205654321,0.355027948358276,8.38424712845237,5.10514394264731e-17,1.40863297484167e-14,"CCNB3","cyclin B3"
"ENSCAFG00000012136",231.990349175036,2.87597045726586,0.343227752608814,8.37918972287675,5.32933099711099e-17,1.44854398191624e-14,"NEK2","NIMA related kinase 2"
"ENSCAFG00000015642",637.142884931442,2.84699609932342,0.340236428234257,8.36769923226218,5.87541291544135e-17,1.57348742063386e-14,"FOXM1","forkhead box M1"
"ENSCAFG00000015000",902.777842387627,2.50124790480551,0.299732111907595,8.34494472042629,7.12472030099598e-17,1.88040987538316e-14,"TACC3","transforming acidic coiled-coil containing protein 3"
"ENSCAFG00000012140",830.293801200297,2.67366561219431,0.320521836147513,8.34160207095476,7.3290725957913e-17,1.90671058631365e-14,"PRC1","protein regulator of cytokinesis 1"
"ENSCAFG00000033086",69.7905093482306,-6.67594614607638,0.802212220812755,-8.32192027604953,8.65495202240131e-17,2.21993424337958e-14,NA,NA
"ENSCAFG00000003704",416.137772163967,3.36533898755379,0.404620375718027,8.31727512877167,9.0008648053401e-17,2.27659373569512e-14,"SHCBP1","SHC binding and spindle associated 1"
"ENSCAFG00000013538",2522.86547596196,-3.2461036567315,0.39100256422902,-8.30200094245462,1.02372394862114e-16,2.55384066141638e-14,"ZBTB16","zinc finger and BTB domain containing 16"
"ENSCAFG00000001837",500.542147315136,3.00100396403561,0.364231062038042,8.23928620267475,1.73241080303836e-16,4.2633693424502e-14,"DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1"
"ENSCAFG00000000987",1960.62196953485,2.44981762770875,0.297650413539948,8.23051981878049,1.86402760210085e-16,4.52610755491449e-14,"KIFC1","kinesin family member C1"
"ENSCAFG00000031912",1383.03848084002,-5.06965465469476,0.6169249756066,-8.21761941103122,2.07582508621201e-16,4.97405929539565e-14,"SBSN","suprabasin"
"ENSCAFG00000029331",492.063138883941,2.32027139496653,0.283498443953374,8.18442374007576,2.7360973754748e-16,6.47104796165864e-14,"AURKA","aurora kinase A"
"ENSCAFG00000006621",290.85762097875,2.40045708568491,0.293865271793426,8.16856333868644,3.12083534550613e-16,7.28635031756567e-14,"WDR62","WD repeat domain 62"
"ENSCAFG00000015082",599.708617157626,-1.93866077065882,0.237585326670199,-8.15985060116929,3.35439233255432e-16,7.63585484601834e-14,"PLAAT3","phospholipase A and acyltransferase 3"
"ENSCAFG00000016831",453.718983419534,2.68871743536172,0.329471426543712,8.16069989306038,3.33088826000343e-16,7.63585484601834e-14,"KIF4A","kinesin family member 4A"
"ENSCAFG00000003332",82.1656528601263,-4.7764017296717,0.585762586880963,-8.15415978528915,3.51615744070214e-16,7.90527693242305e-14,"EPHA7","EPH receptor A7"
"ENSCAFG00000009745",515.865053093306,3.18541479899827,0.390724048208621,8.15259468569353,3.56197860593595e-16,7.9106332186219e-14,"UBE2C","ubiquitin conjugating enzyme E2 C"
"ENSCAFG00000000709",2143.97712048269,1.67561532674517,0.205610299913817,8.14947173097609,3.65517463595367e-16,8.01980545727137e-14,"CRELD2","cysteine rich with EGF like domains 2"
"ENSCAFG00000020429",168.621092675408,3.43341181820379,0.424742601829132,8.08351176316664,6.29278831594838e-16,1.36426152406829e-13,"DEPDC1","DEP domain containing 1"
"ENSCAFG00000011909",135.015458875091,-7.39036948810669,0.916410867475674,-8.06447168011445,7.35532534720428e-16,1.57585682232867e-13,"CAMK1G","calcium/calmodulin dependent protein kinase IG"
"ENSCAFG00000019338",425.028699806251,2.54965575311197,0.316390647489784,8.05856865030847,7.71929667568232e-16,1.63460595070757e-13,"PKMYT1","protein kinase, membrane associated tyrosine/threonine 1"
"ENSCAFG00000016934",2627.70466839791,-3.66565408485818,0.45560358272996,-8.04570952426168,8.5747159591656e-16,1.79487531416511e-13,"NGFR","nerve growth factor receptor"
"ENSCAFG00000013500",18640.097922983,-1.40590224360293,0.175272132342291,-8.02125372022817,1.0467127089021e-15,2.16610058429729e-13,NA,NA
"ENSCAFG00000003744",186.173192685471,2.89762118190905,0.361709661173384,8.01090347575785,1.13868795523611e-15,2.32996026436009e-13,"ORC1","origin recognition complex subunit 1"
"ENSCAFG00000014924",2073.22836598592,-7.97257405460306,0.996965580745852,-7.99683981932315,1.27653130860212e-15,2.58299018455036e-13,"MYOC","myocilin"
"ENSCAFG00000031154",299.996020218731,-2.13453374712394,0.266984993106548,-7.99495777754104,1.29618279098822e-15,2.59393239633917e-13,"MYORG","myogenesis regulating glycosidase (putative)"
"ENSCAFG00000001672",194.994727074146,-4.06906558298705,0.511254287364259,-7.95898574066709,1.73455225730307e-15,3.4334707780159e-13,"LEP","leptin"
"ENSCAFG00000001204",620.965770496329,2.82377545431995,0.355965499434914,7.93272229697153,2.14393483846344e-15,4.1098102466587e-13,"KIF20A","kinesin family member 20A"
"ENSCAFG00000007115",1010.06983521298,-1.99216862684842,0.251100823284385,-7.93373992482766,2.12643163231168e-15,4.1098102466587e-13,"SPATA13","spermatogenesis associated 13"
"ENSCAFG00000016106",308.913890931547,3.29934162240439,0.415832246018235,7.93430921723109,2.1167012630614e-15,4.1098102466587e-13,"CDC6","cell division cycle 6"
"ENSCAFG00000001621",541.668343500723,2.24198268633813,0.283252553066921,7.91513672891218,2.469815155208e-15,4.6368869888137e-13,"TONSL","tonsoku like, DNA repair protein"
"ENSCAFG00000007705",481.595515986595,2.63111073302939,0.333083170727169,7.89926049786691,2.80562975547885e-15,5.21360443643116e-13,"CCNB1","cyclin B1"
"ENSCAFG00000015878",782.959449622296,2.76590277673788,0.35026390149525,7.89662527291695,2.86556234602287e-15,5.27118746297198e-13,"UCHL1","ubiquitin C-terminal hydrolase L1"
"ENSCAFG00000005259",969.417034287798,2.2923765018394,0.290969964697493,7.87839564204733,3.31611286388203e-15,6.03897313641557e-13,"CDC20","cell division cycle 20"
"ENSCAFG00000010423",65.9677735777954,-5.32287212118172,0.681107710279145,-7.81502255935436,5.49531866984025e-15,9.81129885259419e-13,"COL4A4","collagen type IV alpha 4 chain"
"ENSCAFG00000004902",371.04474387692,2.93106282004662,0.375211989896075,7.81175148709521,5.63986806231114e-15,9.95179313791487e-13,"DIAPH3","diaphanous related formin 3"
"ENSCAFG00000005289",83.1296677814394,-2.86502767327572,0.366804078485288,-7.81078467040718,5.68330397201223e-15,9.95179313791487e-13,NA,NA
"ENSCAFG00000017811",29.2276986079767,-7.93705259996763,1.01710357918836,-7.80358339344484,6.0173609907167e-15,1.04363962858992e-12,"PLP1","proteolipid protein 1"
"ENSCAFG00000047433",8888.6994745676,-7.46596709848993,0.957111994901888,-7.80051565360985,6.16547187569866e-15,1.05923970121083e-12,"MEPE","matrix extracellular phosphoglycoprotein"
"ENSCAFG00000015521",267.5669220753,2.00705918311875,0.258243608909098,7.77196071413809,7.72804203348967e-15,1.31528386422318e-12,"ZWINT","ZW10 interacting kinetochore protein"
"ENSCAFG00000012986",2019.25745853315,1.80294633112786,0.232097485586188,7.76805628279131,7.96996488330798e-15,1.34389843046224e-12,"ADAM12","ADAM metallopeptidase domain 12"
"ENSCAFG00000002692",996.321563066944,-1.8179901448661,0.234234840828156,-7.76139936500672,8.39973566880931e-15,1.40337235105217e-12,"STON1","stonin 1"
"ENSCAFG00000004991",1093.0458856972,-1.19475529434763,0.154454894956751,-7.73530223617824,1.03157740343286e-14,1.70782328126508e-12,"PPARG","peroxisome proliferator activated receptor gamma"
"ENSCAFG00000019071",140.25093825931,-7.41848132628346,0.961631938466883,-7.71447060931717,1.21485425251492e-14,1.99312709842786e-12,"TRARG1","trafficking regulator of GLUT4 (SLC2A4) 1"
"ENSCAFG00000011648",102.073909603803,-5.37394560037498,0.697798161576464,-7.70128942190701,1.34700010003492e-14,2.19019810908357e-12,"SCN7A","sodium voltage-gated channel alpha subunit 7"
"ENSCAFG00000008782",461.454464640603,-2.00784754376378,0.260805776581695,-7.69863141100649,1.37531250260497e-14,2.21644389247248e-12,"PLLP","plasmolipin"
"ENSCAFG00000009336",1659.86954292945,3.04061967625564,0.396549384670643,7.66769485415051,1.75114878057951e-14,2.79738337220468e-12,"MYBL2","MYB proto-oncogene like 2"
"ENSCAFG00000028810",1212.8582512749,-2.51141884819389,0.327669395793378,-7.6644901246058,1.79543020800557e-14,2.84318082765126e-12,"GPIHBP1","glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1"
"ENSCAFG00000008962",131.50488322637,2.3743545089664,0.310055515555319,7.65783670938366,1.89091091454008e-14,2.96856712626633e-12,"CDCA2","cell division cycle associated 2"
"ENSCAFG00000009872",116.697086908808,-4.48790781428155,0.586977208568618,-7.64579569490543,2.07657159115746e-14,3.23217480739901e-12,"CNTN1","contactin 1"
"ENSCAFG00000028730",8453.61979503451,-6.99558352819842,0.916193532200149,-7.63548669831712,2.24968934839621e-14,3.47195701047825e-12,"SOST","sclerostin"
"ENSCAFG00000032422",17046.184496401,-2.58825952154072,0.339961285895066,-7.61339490385274,2.66988436694334e-14,4.08582052154665e-12,"RARRES1","retinoic acid receptor responder 1"
"ENSCAFG00000008613",552.449317372209,2.65540275437387,0.351323880411718,7.55827571772803,4.08447540994117e-14,6.19853180753655e-12,"TROAP","trophinin associated protein"
"ENSCAFG00000000676",74.5865143380796,4.75096582489392,0.62903071758503,7.55283596186492,4.25881259303686e-14,6.40968893651192e-12,"DPYS","dihydropyrimidinase"
"ENSCAFG00000012593",1205.82990355474,2.84068329716631,0.376578593804139,7.54340088338575,4.57870867342862e-14,6.83466095506627e-12,"CENPF","centromere protein F"
"ENSCAFG00000006622",66.3088391771082,4.01312453189947,0.533014065102084,7.5291156362466,5.10851280440839e-14,7.56350623423425e-12,"HOXC6","homeobox C6"
"ENSCAFG00000028459",128.396900729883,-7.00833091357415,0.931311573101618,-7.52522691222849,5.26288436241697e-14,7.72922476806253e-12,NA,NA
"ENSCAFG00000001581",464.762851529251,-2.51749140330031,0.334776388775533,-7.51991922879687,5.48100927097824e-14,7.98517278670278e-12,"ADAMTSL1","ADAMTS like 1"
"ENSCAFG00000020182",369.087971277653,1.39045441933511,0.185070328526373,7.51311369254399,5.77373427957408e-14,8.34487896550187e-12,"CDC7","cell division cycle 7"
"ENSCAFG00000013132",164.247450046994,1.75049719883652,0.233681615372092,7.49094958133187,6.83770825504258e-14,9.80484291595121e-12,"FOSL1","FOS like 1, AP-1 transcription factor subunit"
"ENSCAFG00000017965",683.563465013286,-3.13174486329155,0.418189119274786,-7.48882435947293,6.94932634181467e-14,9.88704546959274e-12,"OLFM2","olfactomedin 2"
"ENSCAFG00000048539",537.870464849575,2.1801872099231,0.291491449516154,7.47942079790673,7.4650885131413e-14,1.05385059622338e-11,"BIRC5","baculoviral IAP repeat containing 5"
"ENSCAFG00000042313",153.66009957917,2.97612733068397,0.398242028080056,7.47316235062386,7.82901569622314e-14,1.09672465264554e-11,"CENPT","centromere protein T"
"ENSCAFG00000017658",994.87967038475,2.25057967370115,0.30203991900798,7.45126565088798,9.24489947108451e-14,1.28518216998412e-11,"PLK1","polo like kinase 1"
"ENSCAFG00000015790",182.507574673633,-1.57397793142555,0.211413163548989,-7.44503277375545,9.69203548352768e-14,1.33713377417063e-11,"NINJ2","ninjurin 2"
"ENSCAFG00000002801",537.63676874667,-4.77292685415914,0.643251021806253,-7.42000664181882,1.17114460981849e-13,1.60358755559432e-11,"NPY","neuropeptide Y"
"ENSCAFG00000023709",42.9584738103718,-7.43689249069602,1.00562736551692,-7.39527656635842,1.41114254451989e-13,1.91778484166058e-11,"PLK5","polo like kinase 5 (inactive)"
"ENSCAFG00000017626",1011.61072228091,-1.68304427807817,0.228071548770248,-7.37945739901832,1.5893592487449e-13,2.14398676139951e-11,"FAXDC2","fatty acid hydroxylase domain containing 2"
"ENSCAFG00000010901",193.811381431452,1.74918235073282,0.237197699055639,7.37436475015097,1.65130519570734e-13,2.21117050875194e-11,"FAR2","fatty acyl-CoA reductase 2"
"ENSCAFG00000025410",9667.6879643242,-4.56046954113429,0.619070162939352,-7.36664406418996,1.74976839838767e-13,2.32591476664509e-11,"FABP4","fatty acid binding protein 4"
"ENSCAFG00000017727",2765.232979482,1.13323368091567,0.153985452973874,7.35935543929557,1.84800362450076e-13,2.43869521781038e-11,"ADPGK","ADP dependent glucokinase"
"ENSCAFG00000017535",761.819102575014,2.65635312134501,0.361077220379603,7.35674523735496,1.88448511934658e-13,2.46894665528206e-11,"KIF23","kinesin family member 23"
"ENSCAFG00000006598",1469.74517409369,1.5011889376633,0.204612298133709,7.33674833505027,2.18845557982735e-13,2.84671175458828e-11,"MCM4","minichromosome maintenance complex component 4"
"ENSCAFG00000011899",290.55579511039,2.1714648833258,0.296237930130395,7.33013791437844,2.29916004928482e-13,2.96950380549829e-11,"HJURP","Holliday junction recognition protein"
"ENSCAFG00000005461",1780.56025121612,-2.53136305511301,0.345610501515031,-7.32432331777083,2.40107169716543e-13,3.0792899068366e-11,"NDRG2","NDRG family member 2"
"ENSCAFG00000004730",1529.2886986711,2.62012185597886,0.358400985492481,7.31058775516071,2.65976375690415e-13,3.38719984454416e-11,"PLAUR","plasminogen activator, urokinase receptor"
"ENSCAFG00000010617",476.441137669614,-3.38274097388199,0.463287565562539,-7.30160104723414,2.84363394253398e-13,3.59620956440877e-11,"ALDH1A3","aldehyde dehydrogenase 1 family member A3"
"ENSCAFG00000012065",415.725961687904,-4.23127845104314,0.580458923608723,-7.28953984329711,3.11015449081901e-13,3.90613954705552e-11,"PCK1","phosphoenolpyruvate carboxykinase 1"
"ENSCAFG00000010426",33.4960711108876,-5.69860209800602,0.781891388285308,-7.28822721849269,3.14059991882063e-13,3.91736062477004e-11,"COL4A3","collagen type IV alpha 3 chain"
"ENSCAFG00000010253",334.813062015081,1.34613924428088,0.185616944841008,7.2522432983364,4.09924668384721e-13,5.07832526255384e-11,"CIP2A","cellular inhibitor of PP2A"
"ENSCAFG00000000052",42.9595067533247,-5.8475133895216,0.807459216648536,-7.24186840518393,4.42545148729738e-13,5.44539844832247e-11,"CDH19","cadherin 19"
"ENSCAFG00000005925",1684.912138028,-3.66839497348253,0.506761665352223,-7.23889596292338,4.52351845865752e-13,5.52871105037666e-11,"VIT","vitrin"
"ENSCAFG00000019330",55.141912243639,-5.51091165892729,0.761629951543692,-7.23568138012118,4.63197623115039e-13,5.62352794303198e-11,"ASPA","aspartoacylase"
"ENSCAFG00000019926",210.115037839953,-2.53033610315903,0.349946857842418,-7.23062958404514,4.80760002115013e-13,5.79809297915e-11,"AIF1L","allograft inflammatory factor 1 like"
"ENSCAFG00000008341",1670.8151982638,2.23427969752744,0.309628401118764,7.21600373045378,5.35375891238052e-13,6.41429628640537e-11,"SPON1","spondin 1"
"ENSCAFG00000014286",95.0050075333323,2.20158368199958,0.305185056121993,7.21393016412814,5.43596422786972e-13,6.47021859828336e-11,"HROB","homologous recombination factor with OB-fold"
"ENSCAFG00000012414",1080.36590301198,-1.78840032958925,0.247981893016911,-7.2118182010462,5.52096541630368e-13,6.52872085690301e-11,"FAM13C","family with sequence similarity 13 member C"
"ENSCAFG00000014112",408.051162239779,2.66318025816998,0.369452211423367,7.20845667132346,5.65895719138211e-13,6.64872705885546e-11,"KIF15","kinesin family member 15"
"ENSCAFG00000018342",168.678471161319,-2.07488701938719,0.287971225856832,-7.20518868929894,5.79635269120712e-13,6.76649864484442e-11,NA,NA
"ENSCAFG00000008618",293.712593443863,1.84540269156218,0.256177251063085,7.203616573697,5.86361053778607e-13,6.80141474545363e-11,"DSN1","DSN1 component of MIS12 kinetochore complex"
"ENSCAFG00000016958",872.771034680513,2.19684530973926,0.305657254119433,7.18728340365468,6.60931317574299e-13,7.61786090148454e-11,"KIF22","kinesin family member 22"
"ENSCAFG00000016686",24684.7312222112,1.06224353919954,0.148053171252226,7.17474357499497,7.24428374462031e-13,8.29721077190444e-11,"ANXA2","annexin A2"
"ENSCAFG00000009654",1306.74353410982,-1.29334053286817,0.180296909427936,-7.17339269414997,7.31616020026388e-13,8.32716208793784e-11,"RBL2","RB transcriptional corepressor like 2"
"ENSCAFG00000015342",180.20986537089,2.51556957215255,0.351801288005714,7.15054110919484,8.64364913028084e-13,9.77698722431952e-11,"RAD51AP1","RAD51 associated protein 1"
